"thema","query","query_mod"
"- offen - ","Wahlomat über goole.de","wahlomat über goole.de"
"- offen - ","Partei Sicherheit","partei sicherheit"
"- offen - ","Die linke","die linke"
"- offen - ","Wahlinhalte","wahlinhalte"
"- offen - ","Olaf Scholz","olaf scholz"
"- offen - ","Wahl-O-Mat + DeinWal","wahl-o-mat + deinwal"
"- offen - ","Wahlprogramme Bundestagswahl 2021","wahlprogramme"
"- offen - ","informationen zu armin laschet","informationen zu armin laschet"
"- offen - ","Parteiprogramm","parteiprogramm"
"- offen - ","Informationen zu Kandidaten,","informationen zu kandidaten,"
"- offen - ","Laptop","laptop"
"- offen - ","Klimawandel","klimawandel"
"- offen - ","Welche Partei will die Corona Maßnahmen endlich abschaffen","welche partei will die corona maßnahmen endlich abschaffen"
"- offen - ","Informationen zu Parteien","informationen zu parteien"
"- offen - ","Wahlprogramme","wahlprogramme"
"- offen - ","Kanzlerkandidat im Vergleich.","kanzlerkandidat im vergleich."
"- offen - ","Fdp","fdp"
"- offen - ","Aktuelles Wahlprogramm von...","aktuelles wahlprogramm von..."
"- offen - ","Programm der jeweiligen Partei","programm der jeweiligen partei"
"- offen - ","Auslandsrecht","auslandsrecht"
"- offen - ","parteiprogramme zusammenfassung, wahlomat","parteiprogramme zusammenfassung, wahlomat"
"- offen - ","Alleinerziehende Mamas","alleinerziehende mamas"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","Innere Sichrerheit","innere sichrerheit"
"- offen - ","Wahlprogramme 2021","wahlprogramme 2021"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","diegruenen, wahlprogramm","diegruenen, wahlprogramm"
"- offen - ","Wissenschaftliche Klärung von Begriffen und dann was welche Partei dazu sagt und wie sie handelt.","wissenschaftliche klärung von begriffen und dann was welche partei dazu sagt und wie sie handelt."
"- offen - ","Wahlprogramme, bisheriges Abstimmungsverhalten","wahlprogramme, bisheriges abstimmungsverhalten"
"- offen - ","Enteignung","enteignung"
"- offen - ","für was jede partei steht, wahlaussagen, wahlprogramm","für was jede partei steht, wahlaussagen, wahlprogramm"
"- offen - ","Asyl","asyl"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Wahlprogramm der einzelnen Parteien","wahlprogramm der einzelnen parteien"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Wahlprogramm FDP","wahlprogramm fdp"
"- offen - ","Afd","afd"
"- offen - ","Wer steht auf der Kanzler Liste","wer steht auf der kanzler liste"
"- offen - ","Geld","geld"
"- offen - ","Wahl-o-mat","wahl-o-mat"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Warum wurde Laschet zum Kanzlerkandidat gewählt","warum wurde laschet zum kanzlerkandidat gewählt"
"- offen - ","Wahlprogramme, Wahl-o-mat","wahlprogramme, wahl-o-mat"
"- offen - ","migration","migration"
"- offen - ","Sozial Programme,Steuerpläne,Verkehrspolitik,umweltverbote","sozial programme,steuerpläne,verkehrspolitik,umweltverbote"
"- offen - ","Grundeinkommen,","grundeinkommen,"
"- offen - ","Wahl O Mat","wahl o mat"
"- offen - ","Wahl 2021 Wahlprogramme, Bundestagswahl 2021, Wahlinformation 2021, Wahlinhalte Bundestagswahl","wahlprogramme,  wahlinformation 2021, wahlinhalte"
"- offen - ","Wahlprogramme der Parteien","wahlprogramme der parteien"
"- offen - ","Wahlprogramme","wahlprogramme"
"- offen - ","Was hat Baerbock jetzt wieder falsch gemacht, die dumme Nuss?","was hat baerbock jetzt wieder falsch gemacht, die dumme nuss?"
"- offen - ","Whal o mat","whal o mat"
"- offen - ","Laschet Aussitzer","laschet aussitzer"
"- offen - ","Steuerprogramm der Parteien, Klimaschutzprogramm der Parteien","steuerprogramm der parteien, klimaschutzprogramm der parteien"
"- offen - ","Bessere Arbeitsplätze","bessere arbeitsplätze"
"- offen - ","linke wahlprogramm","linke wahlprogramm"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Kandidat","kandidat"
"- offen - ","Meine Heimat politisch","meine heimat politisch"
"- offen - ","politiker","politiker"
"- offen - ","suche mir die einzelnen Politiker aus und lese deren Richtung","suche mir die einzelnen politiker aus und lese deren richtung"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Die Folgen der digitalisierung weil Arbeitsplätze verschwindenalso brauchen wir das BGE","die folgen der digitalisierung weil arbeitsplätze verschwindenalso brauchen wir das bge"
"- offen - ","Themen der Parteien","themen der parteien"
"- offen - ","Freiheit, Impfpflicht, Steuererhöhung, Inflation","freiheit, impfpflicht, steuererhöhung, inflation"
"- offen - ","Walprogramm AFD","walprogramm afd"
"- offen - ","Bundestagswahl 2021 Wahlprogramm","wahlprogramm"
"- offen - ","Wahl o mat","wahl o mat"
"- offen - ","Wahl Partei Positionen","wahl partei positionen"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Kandidaten, Parteien","kandidaten, parteien"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Klima Sicherheit Bildung Rente","klima sicherheit bildung rente"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","Wahl-O-Mat","wahl-o-mat"
"- offen - ","Wahlprogramm Parteien Bundestagswahl","wahlprogramm parteien"
"- offen - ","Wahl","wahl"
"- offen - ","Aktuelles Wahlprogramm","aktuelles wahlprogramm"
"- offen - ","Bundestagswahl 2021 Wahlprogramm","wahlprogramm"
"- offen - ","Wahlprogramm Parteien 2021","wahlprogramm parteien 2021"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Wahlgenerator","wahlgenerator"
"- offen - ","Wahlomat","wahlomat"
